ID,LastName,FirstName,URL,Weight,TeamID,MemberID,Birthday,PlayerNum,YearsPro,Drafted,Height,Salary,StandingLayup,DrivingLayup,PostFadeaway,PostHook,PostControl,DrawFoul,MovingShotClose,StandingShotClose,MovingShotMidRange,StandingShotMidRange,MovingShotThree,StandingShotThree,FreeThrow,BallControl,PassingVision,PassingIQ,PassingAccuracy,BoxOut,OffensiveRebound,DeffensiveRebound,LateralQuickness,PassPerception,Block,ShotContest,Steal,DefensiveConsistency,OnBallDefenseIQ,PickAndRollDefenseIQ,HelpDefensiveIQ,LowPostDefenseIQ,StandingDunk,DrivingDunk,ContactDunk,Speed,Acceleration,Vertical,Strength,Stamina,Hustle,ShotIQ,Hands,ReactionTime,OffensiveConsistency,,,,,,,,,,,,,,,,,OverallDurability,,Shot,StandingLayup,DrivingLayup,StandingDunk,DrivingDunk,FlashyDunk,AlleyDop,Putback,Crash,SpinLayup,HopStepLayup,EuroStepLayup,Floater,StepThroughShot,ShotUnderBasket,ShotClose,ShotCloseLeft,ShotCloseMiddle,ShotCloseRight,ShotMidRange,ShotMidRangeLeft,ShotMidRangeLeftCenter,ShotMidRangeCenter,ShotMidRangeRightCenter,ShotMidRangeRight,ShotThree,ShotThreeLeft,ShotThreeLeftCenter,ShotThreeCenter,ShotThreeRightCenter,ShotThreeRight,ContestedJumper,StepBackJumper,SpinJumper,PullUpInTransaction,UseGlass,Drive,DriveRight,TripleThreatPumpFake,TripleThreatJabStep,TripleThreatIdle,TripleThreatShot,SetupWithSizeup,SetupWithHesitation,NoSetupDribble,DrivingCrossover,DrivingSpin,DrivingStepBack,DrivingHalfSpin,,DrivingBehindTheBack,DrivingDribbleHesitation,DrivingInAndOut,NoDrivingDribbleMove,AttachStrongOnDrive,DishToOpenMan,Touches,,RollvsPop,,,,,,,,,,,,,,,,,FlashyPass,AlleyDopPass,PassInterception,TakeCharge,OnBallSteal,ContestShot,BlockShot,Foul,HardFoul
2768,Antetokounmpo,Giannis,http://mtdb.com/nba2k16/player/giannis-antetokounmpo/,205,1,2701,12/6/1994,34,3,R:1 P:15,"0' 5""",1953960,83,84,53,42,52,72,66,67,76,78,40,50,74,72,50,76,60,72,47,75,76,74,67,78,61,70,76,84,77,64,50,85,50,78,72,71,60,84,85,86,85,77,70,84,90,93,92,95,98,89,95,92,88,85,85,90,88,88,87,88,99,60,35,50,40,50,55,75,25,30,20,45,50,30,80,62,40,5,5,1,70,4,2,3,5,2,5,4,1,3,2,1,42,55,5,15,10,60,50,15,15,70,30,5,25,60,15,25,45,5,0,5,50,15,60,40,50,69,35,0,0,5,20,20,2,0,0,1,1,10,5,5,50,25,0,3,20,5,45,5,45,68,48,37,35
4109,Parker,Jabari,http://mtdb.com/nba2k16/player/jabari-parker/,235,1,4109,3/15/1995,12,2,R:1 P:2,"9' 7""",5152440,84,77,72,65,70,66,76,74,72,76,65,71,69,73,38,68,61,69,63,60,64,68,45,68,67,55,67,68,69,68,70,85,35,72,71,72,69,86,82,84,80,68,65,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,82,25,79,15,50,5,10,45,15,20,45,55,65,60,40,76,46,45,8,6,1,60,5,2,5,3,3,5,3,2,9,5,2,50,90,45,50,40,60,47,15,15,25,45,60,10,30,30,50,0,30,0,0,70,0,99,60,38,72,10,0,25,40,15,15,8,0,0,5,5,25,0,35,10,20,0,0,20,5,58,68,66,62,45,58,60
1956,Monroe,Greg,http://mtdb.com/nba2k16/player/greg-monroe/,250,1,1807,6/4/1990,15,6,R:2 P:7,"12' 1""",16407500,82,60,79,85,89,75,75,75,68,72,33,33,75,52,44,70,50,81,76,86,54,53,52,74,64,65,63,69,72,80,85,71,85,62,54,57,83,84,84,88,85,74,90,82,95,96,94,90,92,93,94,95,95,94,94,83,92,93,90,94,25,83,55,30,35,10,40,80,50,5,25,20,30,5,60,88,90,4,1,0,30,1,0,1,2,0,0,0,0,2,1,0,30,5,0,15,40,50,50,15,25,30,30,0,10,90,0,30,15,0,0,0,0,0,90,40,44,84,85,50,40,20,35,25,70,45,50,1,1,20,20,20,15,15,25,23,25,0,50,73,58,78,55,50,50
1977,Vasquez,Greivis,http://mtdb.com/nba2k16/player/greivis-vasquez/,211,1,1828,1/16/1987,6,6,R:1 P:28,"0' 7""",6600000,79,80,61,57,61,41,75,76,80,83,78,83,75,80,71,81,82,49,31,52,63,59,35,66,59,60,63,64,62,44,25,28,25,55,70,54,38,85,81,75,81,66,70,73,90,89,88,87,88,89,88,85,86,84,83,77,77,89,87,88,99,47,5,40,0,0,0,8,5,25,55,75,70,60,77,26,50,2,1,3,50,2,13,3,2,11,90,4,18,8,2,5,25,25,5,25,25,75,51,5,10,60,25,20,20,60,30,5,15,5,0,15,50,15,99,40,71,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,64,68,66,55,27,50,25
2467,Henson,John,http://mtdb.com/nba2k16/player/john-henson/,220,1,2457,12/28/1990,31,4,R:1 P:14,"2' 0""",2943221,88,60,58,70,54,69,75,90,25,25,25,25,56,35,34,66,30,82,78,68,70,62,98,67,59,65,70,74,73,72,85,75,30,64,56,59,44,80,76,78,80,67,60,75,81,82,80,80,83,85,85,79,79,73,78,78,78,78,78,80,25,66,45,35,60,45,20,85,75,10,5,15,5,5,45,81,75,7,1,1,5,1,1,1,1,1,0,1,1,1,1,1,50,0,10,5,30,35,51,5,20,50,25,0,0,99,10,0,0,0,0,0,20,0,80,40,34,63,45,60,30,50,60,20,36,10,10,0,0,30,30,15,50,30,10,20,0,0,50,45,45,70,84,72,60
1509,Mayo,O.J.,http://mtdb.com/nba2k16/player/o-j-mayo/,210,1,1509,11/5/1987,3,8,R:1 P:3,"6' 9""",8000000,78,80,66,40,56,63,83,80,72,76,79,79,82,78,68,53,58,38,35,51,73,62,47,65,63,45,70,69,65,51,35,55,30,85,80,82,48,90,65,64,75,65,60,75,85,86,84,83,83,85,84,84,83,85,85,85,70,83,80,82,65,75,25,45,0,5,10,75,20,15,65,70,70,55,77,25,20,6,7,11,75,4,11,3,2,3,80,4,8,5,3,8,50,60,30,45,25,85,51,5,30,35,30,30,30,40,30,15,20,10,25,10,35,5,99,70,68,83,4,0,35,5,15,0,3,0,0,10,5,25,25,40,25,0,0,13,40,25,72,62,74,58,38,48,25
1517,Bayless,Jerryd,http://mtdb.com/nba2k16/player/jerryd-bayless/,200,1,1517,8/20/1988,19,8,R:1 P:11,"6' 0""",3000000,77,83,42,26,26,64,80,80,75,78,71,77,88,78,70,71,74,34,32,56,52,49,40,52,63,35,52,63,54,34,25,45,25,90,89,75,46,84,64,65,71,52,45,72,84,83,80,83,81,84,85,78,75,74,73,70,73,79,78,78,25,68,15,50,0,5,0,5,5,25,99,97,88,92,93,30,15,3,7,6,75,7,5,4,11,3,45,6,6,4,3,5,55,6,35,40,10,63,51,10,10,60,20,60,30,10,70,25,35,15,25,15,50,15,60,65,70,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,15,74,68,78,55,55,68,40
2581,Copeland,Chris,http://mtdb.com/nba2k16/player/chris-copeland/,225,1,2515,3/17/1984,23,4,R:1 P:0,"0' 3""",1150000,84,72,51,34,43,52,66,66,72,72,72,76,73,68,39,51,39,41,40,54,49,53,50,46,55,55,49,52,54,46,35,40,35,63,65,63,47,82,70,94,67,46,50,73,80,81,82,81,80,83,84,80,84,82,83,84,85,82,81,82,65,69,20,61,0,10,0,19,10,45,25,30,35,15,62,26,35,2,3,11,35,2,17,2,2,8,85,3,15,2,1,6,30,5,25,50,0,55,53,5,25,30,60,20,20,60,15,10,30,0,0,0,35,0,70,65,39,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,10,5,56,35,54,35,50,38,45
4476,Vaughn,Rashad,http://mtdb.com/nba2k16/player/rashad-vaugn/,200,1,4476,8/16/1996,20,1,R:2 P:17,"8' 7""",1733040,82,79,44,46,48,62,77,75,75,76,70,74,69,79,44,48,50,36,35,43,58,48,45,68,52,35,58,59,49,55,35,70,40,82,80,78,64,81,70,54,73,68,50,74,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,82,25,51,15,50,0,5,25,38,5,25,87,81,84,81,76,30,20,4,4,5,15,5,11,4,4,6,15,5,10,4,3,5,50,25,10,25,10,75,51,5,5,85,5,10,10,80,25,35,40,0,0,15,35,15,99,50,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,90,62,84,69,69,52,20
2479,Plumlee,Miles,http://mtdb.com/nba2k16/player/miles-plumlee/,255,1,2469,9/1/1988,21,4,R:1 P:26,"13' 6""",2109294,78,50,60,58,64,45,59,74,48,70,25,25,47,35,29,60,32,71,71,74,44,71,81,76,63,60,61,64,70,73,80,69,80,61,46,90,75,79,90,62,70,76,45,72,86,89,89,90,91,88,84,82,83,87,79,86,88,89,90,88,25,57,70,15,70,25,70,80,75,10,5,10,10,10,52,74,60,5,1,1,8,1,1,4,1,1,0,1,1,7,1,1,40,0,0,5,0,15,52,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,99,45,29,42,40,99,0,0,40,25,34,30,25,0,0,0,0,0,35,20,30,15,0,0,55,75,62,76,83,66,55
4102,Ennis,Tyler,http://mtdb.com/nba2k16/player/tyler-ennis/,182,1,4102,8/24/1994,11,2,R:1 P:18,"11' 3""",1662360,74,72,48,40,25,30,73,71,74,73,65,71,71,79,73,72,78,39,34,44,64,50,50,60,69,45,64,66,68,52,25,25,25,67,80,69,34,85,60,45,80,60,40,75,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,82,25,43,25,75,0,0,0,2,10,35,45,60,70,60,81,23,35,6,4,6,40,6,15,6,3,4,45,4,8,8,3,4,30,45,50,5,60,80,55,15,15,55,15,40,40,20,55,30,35,30,5,20,30,20,80,65,73,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,20,65,69,68,58,32,54,50
4166,O'Bryant,Johnny,http://mtdb.com/nba2k16/player/johnny-obryant/,250,1,4166,6/1/1993,77,2,R:1 P:6,"2' 4""",845059,78,48,52,55,60,60,68,77,69,73,25,25,44,35,33,38,32,70,65,54,40,54,47,52,55,40,58,52,60,62,60,50,60,58,38,75,72,75,70,65,85,52,45,74,84,83,83,82,84,85,85,84,85,70,70,82,81,80,80,81,50,61,40,20,35,20,40,55,35,5,57,57,56,51,59,49,40,6,3,2,50,4,4,4,6,4,5,4,4,5,3,2,85,25,5,20,35,25,53,5,15,45,25,0,0,99,0,0,0,0,0,0,0,0,99,30,33,67,40,10,25,45,25,15,19,15,25,0,0,20,20,20,25,5,15,18,40,0,35,35,45,60,60,88,45
4161,Inglis,Damien,http://mtdb.com/nba2k16/player/damien-inglis/,240,1,4161,5/20/1995,17,1,R:1 P:1,"5' 10""",855000,78,68,44,48,42,50,73,74,66,64,70,75,73,58,42,40,44,48,49,47,71,50,40,74,71,50,71,69,65,58,50,70,50,67,68,78,57,80,85,50,67,74,25,74,75,80,81,83,84,81,82,79,78,70,73,79,79,80,79,79,25,53,35,20,10,35,15,75,25,40,35,40,60,25,65,35,20,4,3,6,10,3,9,4,3,5,35,4,10,5,3,6,10,0,5,25,5,55,50,15,5,60,25,0,20,80,30,15,15,5,0,0,0,0,80,30,42,45,6,0,10,0,25,15,4,10,10,0,0,15,15,15,5,0,10,13,15,5,74,65,72,74,40,82,78
1507,Rose,Derrick,http://mtdb.com/nba2k16/player/derrick-rose/,190,2,1507,10/4/1988,1,7,R:2 P:1,"16' 4""",20093064,78,89,55,55,55,71,96,95,73,72,70,74,81,92,75,80,82,49,37,46,81,78,45,79,59,65,81,83,79,50,35,75,35,94,91,89,64,88,92,98,98,79,90,84,80,68,65,79,78,80,80,79,78,48,48,75,63,72,72,59,25,92,25,75,5,25,75,75,20,75,80,95,95,80,94,34,65,6,3,1,85,7,14,3,2,9,35,4,9,6,1,1,55,60,40,35,20,99,50,10,15,50,25,60,30,20,80,50,35,30,50,20,70,45,85,75,75,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,35,80,50,84,70,40,40,40
2357,Butler,Jimmy,http://mtdb.com/nba2k16/player/jimmy-butler/,220,2,2165,9/14/1989,21,5,R:4 P:30,"9' 3""",16407500,80,83,78,49,63,80,68,72,78,79,81,83,83,78,57,72,75,60,50,52,94,88,50,86,71,90,92,88,89,68,40,75,40,86,74,78,65,98,90,92,75,86,85,88,82,80,83,80,83,88,84,80,80,79,79,79,75,78,78,80,25,85,40,50,20,40,60,80,15,25,45,60,65,40,75,40,40,6,4,3,85,4,6,3,3,2,60,7,8,6,5,3,30,35,30,15,5,85,49,5,10,70,15,10,30,60,55,25,20,0,0,15,30,0,65,55,57,76,7,0,0,30,40,10,4,5,5,1,1,20,20,20,20,15,5,13,25,15,86,80,80,80,50,16,64
